gender,age,state_of_origin,institution_tier,skills_score,experience_years,gap_years,referral,communication_score,hiring_decision,actual_performance_score
0,40,Tier3,Tier2_College,76.6,5,1,0,58.1,0,56.4
1,29,Metro,Tier2_College,82.8,4,0,1,76.5,1,61.9
1,28,Tier2,Tier3_College,45.6,5,1,1,69.7,0,39.5
1,37,Tier3,Tier2_College,62.1,6,0,0,59.2,0,49.9
0,40,Tier3,Tier3_College,65.6,6,1,1,56.2,1,57.9
0,27,Tier2,Tier3_College,61.4,7,3,0,43.7,0,51.8
0,41,Tier3,IIT_NIT,94.8,6,0,0,61.5,0,71.7
1,42,Tier3,IIT_NIT,62.3,3,0,0,56.1,0,60.4
1,32,Metro,Tier3_College,74.6,9,0,0,78.9,0,59.4
1,26,Tier3,Tier2_College,70.1,10,0,0,67.2,1,67.5
0,37,Tier2,Tier3_College,63.9,4,0,0,69.7,0,49.1
1,28,Tier2,Tier2_College,58.1,2,0,1,72.5,1,38.2
1,26,Tier3,Tier2_College,96.8,4,2,1,76.0,0,76.0
0,32,Tier3,Tier2_College,64.9,5,0,0,70.8,0,67.6
0,36,Metro,Tier2_College,80.3,1,0,0,63.2,0,63.3
0,24,Metro,Tier3_College,67.9,3,0,0,75.2,0,68.8
0,26,Tier2,IIT_NIT,61.6,3,0,0,77.2,0,66.4
1,44,Tier2,Tier3_College,69.5,5,2,0,67.6,0,50.2
1,42,Tier2,Tier3_College,72.3,4,0,0,78.4,0,40.8
0,26,Tier3,Tier3_College,61.4,3,1,0,66.0,0,44.6
1,30,Tier3,IIT_NIT,57.3,3,0,0,75.2,0,34.5
0,36,Tier2,Tier2_College,74.7,6,0,0,72.1,0,55.2
0,24,Metro,Tier2_College,69.6,4,3,0,81.8,0,59.7
0,27,Tier2,Tier2_College,58.9,6,0,0,44.0,0,51.7
1,38,Tier2,Tier3_College,54.9,5,0,0,78.3,0,41.3
1,42,Tier2,Tier2_College,72.9,5,2,1,77.7,0,70.6
0,29,Tier2,Tier3_College,41.1,5,1,0,81.0,0,38.9
1,42,Tier2,Tier2_College,64.4,3,0,0,74.3,1,55.3
1,32,Metro,Tier3_College,69.9,5,0,0,82.4,0,43.1
0,27,Metro,IIT_NIT,92.3,3,2,0,66.2,0,77.2
1,29,Tier2,Tier3_College,68.1,5,2,0,59.2,1,44.2
0,31,Metro,Tier3_College,63.8,6,0,0,68.3,0,54.1
0,45,Metro,Tier2_College,72.0,2,2,0,66.9,0,64.0
1,24,Metro,Tier2_College,58.0,5,0,0,76.7,1,42.2
1,44,Tier2,Tier3_College,64.9,2,0,0,97.4,0,41.5
1,35,Metro,IIT_NIT,68.4,3,0,1,76.4,1,45.4
0,44,Tier3,Tier2_College,76.8,3,0,1,63.4,0,60.3
0,35,Tier2,Tier2_College,58.6,6,0,0,65.4,0,61.1
1,31,Tier2,Tier3_College,67.9,4,0,1,75.3,0,44.3
1,33,Tier2,Tier3_College,42.9,4,0,0,71.8,0,35.4
0,27,Metro,Tier3_College,75.2,4,1,0,70.4,0,51.3
1,33,Tier2,Tier3_College,64.8,3,0,1,68.4,1,38.6
0,44,Tier3,Tier3_College,94.4,3,1,1,71.4,0,78.8
1,35,Tier3,Tier2_College,72.9,4,1,1,57.1,1,52.2
0,23,Tier3,Tier2_College,55.9,2,0,0,58.0,0,53.7
1,30,Tier2,Tier2_College,52.7,1,1,0,84.3,0,29.5
0,31,Metro,Tier3_College,77.3,5,2,1,64.4,0,74.0
1,38,Metro,Tier3_College,93.2,2,0,1,62.9,0,77.0
1,38,Tier2,Tier2_College,88.9,5,0,0,72.2,1,64.5
0,24,Metro,Tier3_College,51.0,1,3,0,62.1,1,45.8
1,40,Metro,Tier2_College,70.8,4,0,0,60.1,1,60.6
1,22,Tier3,Tier3_College,83.8,3,0,0,79.0,0,79.1
1,33,Metro,Tier2_College,49.2,5,0,0,67.0,1,28.3
1,28,Metro,Tier2_College,82.5,3,0,1,75.0,1,58.5
1,25,Tier3,Tier2_College,58.2,5,0,0,67.0,0,38.7
1,31,Tier3,Tier3_College,65.0,2,0,1,62.9,0,46.5
0,34,Metro,Tier2_College,71.9,1,1,1,63.4,1,42.4
0,23,Tier3,Tier2_College,83.0,7,0,0,62.9,0,53.7
0,31,Tier3,Tier3_College,89.4,6,0,0,77.1,0,70.5
0,42,Tier2,Tier3_College,63.5,7,3,0,68.8,0,42.2
0,43,Metro,Tier3_College,61.3,0,2,0,86.1,0,45.2
0,25,Metro,Tier2_College,60.4,10,2,0,61.4,0,48.7
1,39,Tier2,Tier3_College,78.9,1,3,1,71.2,0,52.0
0,26,Metro,Tier2_College,81.9,2,0,0,53.7,0,71.0
0,40,Tier3,Tier3_College,80.5,5,3,0,70.9,0,53.2
1,23,Tier3,Tier3_College,71.8,5,0,0,80.5,0,60.8
0,33,Tier3,Tier2_College,73.2,5,3,0,71.7,0,49.5
1,38,Tier3,IIT_NIT,64.8,4,0,0,78.9,1,50.9
0,31,Tier3,Tier3_College,66.1,2,0,1,62.8,0,51.0
1,23,Metro,Tier2_College,80.0,3,0,0,78.3,1,56.7
1,27,Metro,Tier3_College,71.7,7,0,0,83.7,0,62.7
0,29,Tier2,Tier2_College,61.4,2,2,0,78.7,0,54.8
0,40,Metro,Tier2_College,83.4,5,0,0,67.9,0,64.1
1,32,Tier2,Tier2_College,59.5,4,0,1,62.7,1,58.8
1,33,Tier2,Tier3_College,70.0,2,0,0,86.6,1,49.4
1,30,Tier3,Tier2_College,50.6,1,0,0,69.1,0,40.3
1,23,Tier2,Tier3_College,54.8,4,1,1,69.5,0,39.1
0,29,Tier3,Tier2_College,68.3,2,2,0,54.6,0,59.9
0,32,Metro,Tier3_College,58.3,3,0,0,67.0,0,46.7
0,42,Tier2,IIT_NIT,64.8,5,0,0,60.8,0,59.0
1,25,Metro,Tier2_College,85.0,3,0,1,61.9,1,63.7
1,31,Tier3,Tier3_College,66.3,3,1,1,58.2,0,44.0
0,42,Metro,Tier2_College,80.6,4,1,0,75.2,1,57.3
0,41,Tier2,Tier2_College,57.1,4,1,0,61.8,0,50.4
0,37,Metro,Tier3_College,75.7,4,0,0,69.8,0,50.7
0,29,Metro,Tier2_College,54.0,4,3,1,65.2,0,54.2
1,25,Tier2,Tier2_College,64.5,3,0,0,59.0,0,52.7
1,31,Tier2,Tier2_College,76.3,4,0,1,84.3,1,49.5
1,33,Metro,Tier2_College,68.2,1,2,0,76.2,0,55.1
1,35,Metro,Tier2_College,81.2,4,1,0,81.3,1,57.1
0,37,Tier2,Tier2_College,77.3,7,2,0,70.0,0,49.1
1,43,Tier2,Tier3_College,63.7,1,0,0,68.9,1,52.2
1,39,Metro,Tier2_College,86.2,8,0,0,67.1,0,69.5
1,42,Tier2,Tier3_College,74.1,6,0,0,50.7,0,66.6
1,43,Metro,Tier2_College,64.6,2,2,1,49.2,0,52.5
1,42,Tier2,Tier2_College,70.0,5,2,1,80.0,1,49.5
1,33,Metro,IIT_NIT,69.3,3,0,0,85.2,0,61.8
0,39,Tier2,Tier3_College,70.8,3,3,0,80.3,0,48.7
0,28,Metro,Tier2_College,66.0,4,0,0,66.7,0,45.5
0,41,Tier3,Tier3_College,73.2,5,0,0,54.9,0,55.8
0,45,Metro,Tier2_College,79.1,3,0,0,75.3,0,49.0
1,44,Metro,Tier3_College,74.0,4,0,1,87.7,1,65.2
0,28,Metro,Tier2_College,73.5,4,0,0,88.6,0,55.6
1,30,Tier3,IIT_NIT,66.6,3,0,1,64.4,0,50.9
1,22,Tier2,Tier2_College,55.6,6,2,1,81.3,0,61.4
0,27,Tier2,Tier2_College,52.2,6,2,0,70.7,0,46.2
0,27,Tier3,Tier2_College,58.1,2,1,0,63.6,0,35.7
1,43,Tier3,IIT_NIT,62.1,7,1,0,60.3,1,60.4
0,33,Tier2,Tier3_College,91.4,2,0,1,80.3,0,70.9
0,43,Metro,Tier2_College,85.5,4,0,0,82.0,0,57.0
0,33,Tier3,Tier2_College,59.7,5,3,0,61.1,0,48.7
0,31,Metro,Tier2_College,74.3,2,2,0,77.0,1,56.6
